box_id,box_type,box_name_ja,jfct_code,jfct_group_no,jfct_group_ja,residual_q,n_records,n_source_A,n_source_B,n_source_C,n_layer_A,n_layer_B,n_layer_C,energy_kcal_n,energy_kcal_mean,energy_kcal_sd,protein_g_n,protein_g_mean,protein_g_sd,fat_g_n,fat_g_mean,fat_g_sd,carbohydrate_g_n,carbohydrate_g_mean,carbohydrate_g_sd,salt_equiv_g_n,salt_equiv_g_mean,salt_equiv_g_sd
01209,P,こむぎ ［パン類］ クロワッサン レギュラータイプ,01209,1,穀類,0,14,9,5,0,14,0,0,14,415.78,41.82,14,8.35,1.07,14,22.67,5.12,14,45.88,6.26,14,0.76,0.34
01210,P,こむぎ ［パン類］ くるみパン,01210,1,穀類,0,3,1,2,0,3,0,0,3,354.93,109.52,3,10.05,1.15,3,16.9,15.12,3,43.34,4.37,3,1.1,0.14
01211,P,こめ ［うるち米製品］ 米粉パン 食パン,01211,1,穀類,0,7,1,6,0,7,0,0,7,287.09,47.47,7,4.55,2.2,7,7.53,4.85,7,51.19,2.95,7,0.92,0.32
02003,P,＜いも類＞ こんにゃく 板こんにゃく 精粉こんにゃく,02003,2,いも及びでん粉類,0,61,30,24,7,61,0,0,61,9.69,10.06,61,0.25,0.41,61,0.02,0.09,61,3.42,1.87,61,0.23,0.53
02005,P,＜いも類＞ こんにゃく しらたき,02005,2,いも及びでん粉類,0,41,15,22,4,41,0,0,41,5.98,1.47,41,0.07,0.1,41,0.01,0.06,41,2.81,0.42,41,0.0,0.01
02007,P,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 蒸し,02007,2,いも及びでん粉類,0,11,4,5,2,11,0,0,11,169.65,85.99,11,1.59,1.05,11,1.68,4.66,11,37.96,14.36,11,0.17,0.18
02008,P,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 焼き,02008,2,いも及びでん粉類,0,4,1,2,1,3,1,0,4,162.0,27.65,4,1.75,0.56,4,0.32,0.22,4,39.83,6.22,4,0.04,0.05
02009,P,＜いも類＞ （さつまいも類） さつまいも 蒸し切干,02009,2,いも及びでん粉類,0,11,5,6,0,11,0,0,10,270.19,40.45,10,3.04,1.02,10,0.34,0.16,10,66.44,9.74,10,0.18,0.15
02011,P,＜いも類＞ （さといも類） さといも 球茎 水煮,02011,2,いも及びでん粉類,0,3,0,3,0,3,0,0,3,50.64,27.5,3,1.51,0.57,3,0.18,0.09,3,11.74,6.09,3,0.26,0.39
02012,P,＜いも類＞ （さといも類） さといも 球茎 冷凍,02012,2,いも及びでん粉類,0,16,6,8,2,16,0,0,15,59.51,9.28,15,1.8,0.33,15,0.16,0.09,15,13.28,2.16,15,0.02,0.03
02017,P,＜いも類＞ じゃがいも 塊茎 皮なし 生,02017,2,いも及びでん粉類,0,3,0,3,0,3,0,0,3,74.22,21.22,3,1.51,0.52,3,0.08,0.07,3,17.71,4.83,3,0.0,0.0
02020,P,＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （市販冷凍食品を揚げたもの）,02020,2,いも及びでん粉類,0,47,11,14,22,47,0,0,46,159.21,72.48,46,2.46,0.61,46,5.62,6.0,46,25.45,5.18,45,0.29,0.41
02021,P,＜いも類＞ じゃがいも 乾燥マッシュポテト,02021,2,いも及びでん粉類,0,1,0,0,1,1,0,0,1,188.0,,1,2.8,,1,7.5,,1,28.4,,1,1.0,
