box_id,box_type,box_name_ja,jfct_code,jfct_group_no,jfct_group_ja,residual_q,n_records,n_source_A,n_source_B,n_source_C,n_layer_A,n_layer_B,n_layer_C,energy_kcal_n,energy_kcal_mean,energy_kcal_sd,protein_g_n,protein_g_mean,protein_g_sd,fat_g_n,fat_g_mean,fat_g_sd,carbohydrate_g_n,carbohydrate_g_mean,carbohydrate_g_sd,salt_equiv_g_n,salt_equiv_g_mean,salt_equiv_g_sd
05031,P,マカダミアナッツ いり 味付け,05031,5,種実類,0,9,0,7,2,9,0,0,9,758.22,21.06,9,8.02,0.65,9,76.18,2.85,9,12.93,2.69,9,0.27,0.43
05035,P,らっかせい 大粒種 いり,05035,5,種実類,0,5,0,4,1,5,0,0,4,551.5,127.81,4,21.2,5.14,4,44.2,10.3,4,19.9,4.02,4,0.35,0.47
05036,P,らっかせい バターピーナッツ,05036,5,種実類,0,14,0,6,8,14,0,0,13,578.48,71.62,13,22.42,4.92,13,44.9,9.66,13,24.72,13.25,13,0.5,0.35
05037,P,らっかせい ピーナッツバター,05037,5,種実類,0,12,3,4,5,12,0,0,12,575.92,135.03,12,13.87,8.67,12,43.57,18.62,12,34.13,13.86,12,0.43,0.33
05040,P,アーモンド いり 無塩,05040,5,種実類,0,19,4,14,1,19,0,0,19,633.71,10.34,19,21.13,1.36,19,55.0,1.14,18,18.28,1.81,19,0.0,0.01
05042,P,ごま ねり,05042,5,種実類,0,6,2,2,2,6,0,0,6,655.56,19.17,6,19.56,0.54,6,59.22,1.65,6,16.78,1.22,6,0.0,0.01
06008,P,アスパラガス 若茎 ゆで,06008,6,野菜類,0,8,2,4,2,8,0,0,7,25.71,3.35,7,2.46,0.1,7,0.23,0.11,7,4.21,0.36,7,0.26,0.44
06011,P,いんげんまめ さやいんげん 若ざや ゆで,06011,6,野菜類,0,11,4,3,4,0,11,0,11,30.45,5.18,11,1.85,0.43,11,0.22,0.09,11,6.27,1.01,11,0.0,0.0
06017,P,えだまめ 冷凍,06017,6,野菜類,0,28,15,10,3,28,0,0,26,147.04,12.57,26,11.62,1.03,26,5.94,1.03,26,12.63,1.2,26,0.53,0.34
06022,P,（えんどう類） スナップえんどう 若ざや 生,06022,6,野菜類,0,1,0,1,0,1,0,0,1,43.0,,1,2.8,,1,0.2,,1,8.8,,1,0.02,
06025,P,（えんどう類） グリンピース 冷凍,06025,6,野菜類,0,8,2,1,5,8,0,0,8,251.5,221.15,8,10.59,6.02,8,10.8,13.89,8,28.72,17.51,8,0.69,0.86
06032,P,オクラ 果実 生,06032,6,野菜類,0,8,0,6,2,8,0,0,5,29.0,2.55,5,1.88,0.26,5,0.16,0.11,5,6.46,0.65,5,0.02,0.02
06050,P,（かぼちゃ類） 西洋かぼちゃ 果実 冷凍,06050,6,野菜類,0,22,14,7,1,22,0,0,19,102.0,19.86,19,1.85,0.51,19,0.54,0.2,19,22.88,4.36,19,0.02,0.09
06054,P,カリフラワー 花序 生,06054,6,野菜類,0,5,0,1,4,5,0,0,5,21.6,4.16,5,1.98,0.69,5,0.18,0.16,5,4.5,0.66,5,0.03,0.01
06056,P,かんぴょう 乾,06056,6,野菜類,0,5,2,3,0,5,0,0,5,257.0,79.81,5,5.39,2.23,5,0.68,0.46,5,63.75,17.99,5,0.63,1.4
06061,P,（キャベツ類） キャベツ 結球葉 生,06061,6,野菜類,0,11,2,9,0,11,0,0,8,30.29,18.92,8,1.34,0.1,8,0.71,1.44,8,5.75,1.25,8,0.14,0.34
06065,P,きゅうり 果実 生,06065,6,野菜類,0,2,0,2,0,2,0,0,1,11.0,,1,0.6,,1,0.1,,1,2.5,,1,0.01,
06067,P,きゅうり 漬物 しょうゆ漬,06067,6,野菜類,0,29,5,13,11,29,0,0,29,42.54,19.45,29,1.71,0.52,29,0.37,0.24,29,8.69,5.16,29,4.72,1.23
06069,P,きゅうり 漬物 ピクルス スイート型,06069,6,野菜類,0,10,3,0,7,10,0,0,10,47.9,17.29,10,0.59,0.89,10,0.06,0.13,10,11.2,4.35,10,1.96,1.05
06072,P,みずな 葉 生,06072,6,野菜類,0,4,0,4,0,4,0,0,0,,,0,,,0,,,0,,,0,,
06080,P,ケール 葉 生,06080,6,野菜類,0,3,0,3,0,3,0,0,0,,,0,,,0,,,0,,,0,,
06085,P,ごぼう 根 ゆで,06085,6,野菜類,0,19,4,14,1,19,0,0,14,40.76,12.25,14,1.34,0.44,14,0.1,0.08,14,10.44,3.14,14,0.04,0.03
06087,P,こまつな 葉 ゆで,06087,6,野菜類,0,11,1,9,1,11,0,0,4,19.25,5.74,4,1.95,0.41,4,0.2,0.08,4,3.18,0.61,4,0.04,0.04
06088,P,ザーサイ 漬物,06088,6,野菜類,0,9,0,1,8,9,0,0,9,59.78,44.1,9,1.73,0.72,9,1.84,2.14,9,9.27,6.06,9,6.01,4.08
06093,P,ししとう 果実 生,06093,6,野菜類,0,1,0,1,0,1,0,0,0,,,0,,,0,,,0,,,0,,
06095,P,しそ 葉 生,06095,6,野菜類,0,2,0,2,0,2,0,0,0,,,0,,,0,,,0,,,0,,
06105,P,（しょうが類） しょうが 漬物 甘酢漬,06105,6,野菜類,0,28,4,10,14,28,0,0,27,26.83,13.72,27,0.65,0.56,27,0.39,0.2,27,5.44,3.03,27,4.44,2.26
06116,P,ズッキーニ 果実 生,06116,6,野菜類,0,2,0,1,1,2,0,0,2,37.0,12.73,2,1.7,0.42,2,0.95,1.34,2,6.55,0.64,2,0.05,0.07
06121,P,ぜんまい 生ぜんまい 若芽 ゆで,06121,6,野菜類,0,1,0,1,0,1,0,0,1,18.67,,1,1.47,,1,0.13,,1,4.53,,1,0.0,
06124,P,そらまめ 未熟豆 生,06124,6,野菜類,0,2,0,1,1,2,0,0,2,106.5,7.78,2,9.55,1.34,2,0.45,0.35,2,16.6,0.42,2,0.2,0.28
06134,P,（だいこん類） だいこん 根 皮なし 生,06134,6,野菜類,0,1,0,0,1,1,0,0,1,18.0,,1,0.5,,1,0.1,,1,4.0,,1,0.03,
06135,P,（だいこん類） だいこん 根 皮なし ゆで,06135,6,野菜類,0,2,0,2,0,2,0,0,2,13.37,6.09,2,0.45,0.21,2,0.0,0.0,2,3.74,1.49,2,0.2,0.25
06136,P,（だいこん類） 切干しだいこん 乾,06136,6,野菜類,0,15,8,4,3,15,0,0,15,294.39,12.98,15,8.35,1.24,15,0.88,0.54,15,71.94,2.33,15,0.5,0.32
06138,P,（だいこん類） 漬物 たくあん漬 塩押しだいこん漬,06138,6,野菜類,0,28,3,10,15,28,0,0,28,52.61,24.87,28,1.05,0.46,28,0.23,0.27,26,11.62,6.19,28,3.75,1.02
06141,P,（だいこん類） 漬物 べったら漬,06141,6,野菜類,0,4,0,1,3,4,0,0,4,54.44,40.3,4,0.9,0.42,4,0.21,0.14,4,12.51,9.7,4,3.86,0.95
06143,P,（だいこん類） 漬物 福神漬,06143,6,野菜類,0,11,6,3,2,9,2,0,11,94.45,38.1,11,1.35,0.39,11,0.14,0.11,11,22.26,9.14,11,3.68,0.85
06148,P,たかな たかな漬,06148,6,野菜類,0,1,1,0,0,1,0,0,1,98.0,,1,4.1,,1,3.7,,1,12.1,,1,5.2,
06151,P,たけのこ 水煮缶詰,06151,6,野菜類,0,21,3,14,4,21,0,0,21,24.94,5.35,21,2.48,0.74,21,0.32,0.11,21,4.19,0.84,21,0.0,0.01
06152,P,たけのこ めんま 塩蔵 塩抜き,06152,6,野菜類,0,16,6,3,7,16,0,0,16,49.73,42.75,16,1.37,0.45,16,1.82,4.49,16,7.11,2.88,16,5.13,11.77
06153,P,（たまねぎ類） たまねぎ りん茎 生,06153,6,野菜類,0,11,1,9,1,11,0,0,4,30.5,5.2,4,0.72,0.13,4,0.08,0.05,4,7.15,0.99,4,0.0,0.0
06160,P,チンゲンサイ 葉 生,06160,6,野菜類,0,1,0,1,0,1,0,0,0,,,0,,,0,,,0,,,0,,
06172,P,とうがらし 果実 乾,06172,6,野菜類,0,1,0,0,1,1,0,0,1,345.0,,1,14.7,,1,12.0,,1,58.4,,1,0.04,
06178,P,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍,06178,6,野菜類,0,17,7,3,7,17,0,0,17,100.53,28.85,17,3.14,0.66,17,1.76,0.85,17,18.55,5.41,17,0.04,0.11
06180,P,（とうもろこし類） スイートコーン 缶詰 ホールカーネルスタイル,06180,6,野菜類,0,23,13,4,6,23,0,0,21,81.94,13.91,21,2.56,0.57,21,1.56,0.52,21,14.73,2.43,20,0.3,0.18
06182,P,（トマト類） 赤色トマト 果実 生,06182,6,野菜類,0,9,0,8,1,9,0,0,1,27.0,,1,1.1,,1,0.2,,1,5.2,,1,0.01,
06183,P,（トマト類） 赤色ミニトマト 果実 生,06183,6,野菜類,0,14,0,14,0,14,0,0,0,,,0,,,0,,,0,,,0,,
06184,P,（トマト類） 加工品 ホール 食塩無添加,06184,6,野菜類,0,24,6,6,12,24,0,0,24,24.5,4.93,24,1.21,0.2,24,0.14,0.12,24,4.9,1.14,24,0.17,0.22
06185,P,（トマト類） 加工品 トマトジュース 食塩添加,06185,6,野菜類,0,1,0,0,1,1,0,0,1,24.0,,1,0.8,,1,0.1,,1,5.1,,1,0.5,
06191,P,（なす類） なす 果実 生,06191,6,野菜類,0,2,0,1,1,1,1,0,1,23.0,,1,0.9,,1,0.0,,1,4.8,,1,0.0,
06194,P,（なす類） べいなす 果実 素揚げ,06194,6,野菜類,0,7,3,3,1,7,0,0,7,108.71,23.82,7,1.37,1.0,7,8.06,2.56,7,8.13,5.1,7,0.18,0.35
06195,P,（なす類） 漬物 塩漬,06195,6,野菜類,0,5,2,0,3,5,0,0,5,51.6,25.86,5,2.2,1.23,5,0.5,0.84,5,9.58,3.65,5,3.06,0.68
06202,P,（なばな類） 和種なばな 花らい・茎 ゆで,06202,6,野菜類,0,1,0,0,1,1,0,0,1,28.0,,1,4.7,,1,0.1,,1,4.3,,1,0.02,
06205,P,にがうり 果実 生,06205,6,野菜類,0,1,0,0,1,1,0,0,1,17.0,,1,1.0,,1,0.1,,1,3.9,,1,0.0,
06207,P,（にら類） にら 葉 生,06207,6,野菜類,0,3,0,2,1,3,0,0,2,20.5,0.71,2,1.68,0.02,2,0.32,0.02,2,4.0,0.0,2,0.0,0.0
06212,P,（にんじん類） にんじん 根 皮つき 生,06212,6,野菜類,0,8,0,8,0,8,0,0,1,20.0,,1,0.6,,1,0.2,,1,5.0,,1,0.04,
06216,P,（にんじん類） にんじん 根 冷凍,06216,6,野菜類,0,1,1,0,0,1,0,0,1,20.0,,1,0.0,,1,0.0,,1,5.5,,1,0.03,
06217,P,（にんじん類） にんじん ジュース 缶詰,06217,6,野菜類,0,9,9,0,0,9,0,0,9,39.49,4.0,9,0.47,0.13,9,0.09,0.13,9,9.33,0.83,9,0.04,0.04
06223,P,（にんにく類） にんにく りん茎 生,06223,6,野菜類,0,11,0,7,4,11,0,0,7,190.71,102.36,7,7.67,5.23,7,0.67,0.35,7,41.01,22.56,7,2.5,3.49
06224,P,（にんにく類） 茎にんにく 花茎 生,06224,6,野菜類,0,1,0,0,1,1,0,0,1,44.0,,1,1.7,,1,0.2,,1,10.7,,1,0.02,
06226,P,（ねぎ類） 根深ねぎ 葉 軟白 生,06226,6,野菜類,0,8,1,6,1,8,0,0,5,29.86,11.7,5,1.33,0.41,5,0.21,0.09,5,6.69,3.15,5,0.03,0.04
06231,P,のざわな 漬物 調味漬,06231,6,野菜類,0,12,3,0,9,12,0,0,12,45.92,19.2,12,1.72,0.47,12,1.03,1.19,12,7.55,2.87,12,4.45,1.44
06233,P,はくさい 結球葉 生,06233,6,野菜類,0,1,0,0,1,1,0,0,1,13.0,,1,0.9,,1,0.1,,1,2.9,,1,0.01,
06235,P,はくさい 漬物 塩漬,06235,6,野菜類,0,12,8,4,0,12,0,0,12,28.51,18.44,12,1.3,0.32,12,0.06,0.09,12,5.9,4.83,12,2.12,0.56
06236,P,はくさい 漬物 キムチ,06236,6,野菜類,0,20,11,6,3,20,0,0,20,56.4,9.1,20,2.98,1.07,20,0.46,0.43,20,10.4,2.37,20,2.8,0.51
06243,P,ビーツ 根 生,06243,6,野菜類,0,4,0,2,2,4,0,0,3,37.34,10.7,3,1.23,0.64,3,0.03,0.06,3,8.73,2.63,3,0.24,0.23
06245,P,（ピーマン類） 青ピーマン 果実 生,06245,6,野菜類,0,7,0,6,1,7,0,0,1,22.0,,1,0.9,,1,0.2,,1,5.1,,1,0.0,
06257,P,（ふき類） ふき 葉柄 ゆで,06257,6,野菜類,0,3,0,1,2,3,0,0,3,5.33,1.15,3,0.17,0.06,3,0.0,0.0,3,1.4,0.0,3,0.67,0.58
06261,P,ふだんそう 葉 生,06261,6,野菜類,0,1,0,1,0,1,0,0,0,,,0,,,0,,,0,,,0,,
06264,P,ブロッコリー 花序 ゆで,06264,6,野菜類,0,21,7,12,2,1,20,0,19,30.04,5.71,19,3.02,0.65,19,0.43,0.12,19,4.51,0.8,19,0.03,0.03
06269,P,ほうれんそう 葉 冷凍,06269,6,野菜類,0,22,10,10,2,22,0,0,17,36.73,14.19,17,3.47,0.78,17,0.79,0.84,17,4.57,1.29,17,0.12,0.13
06278,P,（みつば類） 糸みつば 葉 生,06278,6,野菜類,0,1,0,1,0,1,0,0,0,,,0,,,0,,,0,,,0,,
06291,P,（もやし類） りょくとうもやし 生,06291,6,野菜類,0,9,2,7,0,9,0,0,7,16.14,2.73,7,1.8,0.27,7,0.06,0.05,7,2.64,0.4,7,0.01,0.01
06293,P,モロヘイヤ 茎葉 生,06293,6,野菜類,0,2,0,2,0,2,0,0,0,,,0,,,0,,,0,,,0,,
06306,P,（らっきょう類） らっきょう 甘酢漬,06306,6,野菜類,0,19,7,7,5,19,0,0,19,123.09,14.75,19,0.51,0.13,19,0.15,0.17,19,30.81,3.61,19,1.9,0.18
06312,P,（レタス類） レタス 土耕栽培 結球葉 生,06312,6,野菜類,0,1,0,1,0,1,0,0,0,,,0,,,0,,,0,,,0,,
06314,P,（レタス類） リーフレタス 葉 生,06314,6,野菜類,0,3,0,3,0,3,0,0,0,,,0,,,0,,,0,,,0,,
06315,P,（レタス類） サニーレタス 葉 生,06315,6,野菜類,0,4,0,4,0,4,0,0,0,,,0,,,0,,,0,,,0,,
06317,P,れんこん 根茎 生,06317,6,野菜類,0,2,0,2,0,2,0,0,1,60.67,,1,1.53,,1,0.2,,1,14.0,,1,0.13,
06318,P,れんこん 根茎 ゆで,06318,6,野菜類,0,4,0,3,1,4,0,0,4,66.0,0.0,4,0.77,0.35,4,0.18,0.05,4,16.48,0.25,4,0.01,0.02
06319,P,ルッコラ 葉 生,06319,6,野菜類,0,4,0,4,0,4,0,0,0,,,0,,,0,,,0,,,0,,
06325,P,わらび 生わらび ゆで,06325,6,野菜類,0,2,0,2,0,2,0,0,2,26.12,14.93,2,1.62,0.08,2,0.28,0.08,2,6.25,4.13,2,1.14,1.46
06336,P,（たまねぎ類） たまねぎ りん茎 油いため,06336,6,野菜類,0,1,0,0,1,1,0,0,1,111.0,,1,2.4,,1,2.5,,1,19.8,,1,0.03,
06340,P,（トマト類） 加工品 トマトジュース 食塩無添加,06340,6,野菜類,0,20,10,9,1,20,0,0,20,21.67,3.64,20,0.87,0.16,20,0.02,0.05,20,4.69,0.74,10,0.01,0.02
06341,P,（トマト類） 加工品 ミックスジュース 食塩無添加,06341,6,野菜類,0,6,2,4,0,6,0,0,6,21.66,0.56,6,0.76,0.1,6,0.02,0.05,6,4.86,0.15,0,,
06349,P,（にんにく類） にんにく りん茎 油いため,06349,6,野菜類,0,1,0,0,1,1,0,0,1,431.0,,1,14.5,,1,11.7,,1,66.8,,1,1.0,
06354,P,ブロッコリー 芽ばえ 生,06354,6,野菜類,0,3,1,2,0,3,0,0,0,,,0,,,0,,,0,,,0,,
06367,P,（だいこん類） だいこん 根 皮なし 生 おろし,06367,6,野菜類,0,1,0,0,1,1,0,0,1,18.0,,1,0.5,,1,0.1,,1,4.1,,1,0.0,
06370,P,（トマト類） ドライトマト,06370,6,野菜類,0,8,0,8,0,8,0,0,2,332.8,5.99,2,5.18,6.81,2,1.98,1.24,2,78.96,4.6,2,1.07,1.1
06373,P,ほうれんそう 葉 冷凍 油いため,06373,6,野菜類,0,1,1,0,0,1,0,0,1,95.0,,1,3.0,,1,6.0,,1,7.5,,1,1.0,
06382,P,（その他） ミックスベジタブル 冷凍,06382,6,野菜類,0,9,2,5,2,9,0,0,9,61.67,22.95,9,2.61,1.07,9,0.74,0.36,9,12.0,4.02,9,0.07,0.09
06399,P,（その他） 野菜ミックスジュース 通常タイプ,06399,6,野菜類,0,9,4,5,0,9,0,0,5,31.57,9.34,5,1.16,0.32,5,0.08,0.14,5,7.04,1.82,2,0.06,0.05
07006,P,アボカド 生,07006,7,果実類,0,2,1,1,0,2,0,0,2,164.5,24.75,2,1.35,0.07,2,14.8,1.56,2,7.55,1.06,2,0.25,0.07
07011,P,あんず ジャム 低糖度,07011,7,果実類,0,1,0,0,1,1,0,0,1,183.0,,1,0.2,,1,0.1,,1,45.7,,1,0.0,
07012,P,いちご 生,07012,7,果実類,0,3,0,1,2,3,0,0,3,113.33,97.37,3,1.2,0.61,3,4.3,7.19,3,18.2,8.67,3,0.0,0.01
07014,P,いちご ジャム 低糖度,07014,7,果実類,0,26,15,5,6,24,2,0,26,194.12,37.93,26,0.27,0.24,26,0.08,0.17,26,48.17,9.68,26,0.03,0.03
07021,P,うめ 梅漬 調味漬,07021,7,果実類,0,7,0,2,5,6,1,0,7,61.08,20.75,7,1.87,1.0,7,0.21,0.12,7,13.34,4.01,7,9.19,2.61
07023,P,うめ 梅干し 調味漬,07023,7,果実類,0,55,15,33,7,55,0,0,55,78.92,35.72,55,1.07,0.62,55,0.13,0.14,55,19.59,8.96,55,8.05,3.87
07024,P,うめ 梅びしお,07024,7,果実類,0,2,2,0,0,2,0,0,2,130.67,3.77,2,3.42,0.03,2,0.68,0.02,2,27.0,0.0,2,9.85,0.06
07025,P,うめ 果実飲料 20%果汁入り飲料,07025,7,果実類,0,2,0,0,2,2,0,0,2,47.0,12.73,2,0.2,0.14,2,0.15,0.21,2,11.05,2.76,2,0.0,0.0
07029,P,（かんきつ類） うんしゅうみかん 砂じょう 普通 生,07029,7,果実類,0,1,0,0,1,1,0,0,1,45.0,,1,0.5,,1,0.1,,1,11.9,,1,0.0,
07031,P,（かんきつ類） うんしゅうみかん 果実飲料 濃縮還元ジュース,07031,7,果実類,0,6,3,3,0,6,0,0,6,41.23,4.21,6,0.48,0.09,6,0.01,0.03,6,9.84,0.95,6,0.0,0.0
07033,P,（かんきつ類） うんしゅうみかん 果実飲料 50%果汁入り飲料,07033,7,果実類,0,1,1,0,0,1,0,0,1,48.0,,1,0.4,,1,0.0,,1,11.52,,1,0.0,
07034,P,（かんきつ類） うんしゅうみかん 果実飲料 20%果汁入り飲料,07034,7,果実類,0,3,3,0,0,3,0,0,3,58.45,11.09,3,0.14,0.12,3,0.0,0.0,3,14.51,2.92,3,0.04,0.06
07035,P,（かんきつ類） うんしゅうみかん 缶詰 果肉,07035,7,果実類,0,11,8,3,0,11,0,0,11,65.4,3.01,11,0.46,0.09,11,0.02,0.04,11,14.67,3.23,11,0.02,0.02
07038,P,オリーブ 塩漬 ブラックオリーブ,07038,7,果実類,0,7,0,1,6,7,0,0,7,164.89,90.91,7,1.23,0.41,7,16.65,9.11,7,4.39,3.46,7,3.28,0.51
07043,P,（かんきつ類） オレンジ バレンシア 果実飲料 濃縮還元ジュース,07043,7,果実類,0,12,4,8,0,12,0,0,9,45.4,2.09,9,0.61,0.27,9,0.0,0.0,9,10.8,0.33,9,0.0,0.01
07047,P,（かんきつ類） オレンジ バレンシア マーマレード 低糖度,07047,7,果実類,0,11,6,2,3,11,0,0,11,206.28,37.45,11,0.2,0.24,11,0.08,0.17,11,51.28,9.53,11,0.05,0.05
07058,P,グァバ 果実飲料 20%果汁入り飲料 （ネクター）,07058,7,果実類,0,1,0,0,1,1,0,0,1,26.0,,1,0.2,,1,0.1,,1,6.4,,1,0.0,
07064,P,（かんきつ類） グレープフルーツ 果実飲料 濃縮還元ジュース,07064,7,果実類,0,4,1,3,0,4,0,0,3,37.0,0.87,3,0.37,0.06,3,0.0,0.0,3,8.97,0.06,3,0.01,0.0
07077,P,すいか 赤肉種 生,07077,7,果実類,0,1,0,1,0,1,0,0,0,,,0,,,0,,,0,,,0,,
07082,P,（すもも類） プルーン 乾,07082,7,果実類,0,10,4,5,1,10,0,0,10,246.83,9.79,10,2.24,0.25,10,0.17,0.09,10,62.46,2.52,10,0.0,0.0
07095,P,なつめ 乾,07095,7,果実類,0,1,0,0,1,1,0,0,1,313.0,,1,0.9,,1,0.3,,1,76.6,,1,0.04,
07097,P,パインアップル 生,07097,7,果実類,0,7,0,5,2,7,0,0,5,56.0,6.82,5,0.68,0.26,5,0.02,0.04,5,13.92,1.94,5,0.0,0.0
07099,P,パインアップル 果実飲料 濃縮還元ジュース,07099,7,果実類,0,3,1,2,0,3,0,0,2,51.0,0.0,2,0.4,0.0,2,0.0,0.0,2,12.5,0.0,2,0.05,0.0
07102,P,パインアップル 缶詰,07102,7,果実類,0,4,2,0,2,4,0,0,4,68.93,4.61,4,0.27,0.05,4,0.05,0.1,4,16.8,1.27,4,0.04,0.04
07107,P,バナナ 生,07107,7,果実類,0,6,0,5,1,6,0,0,1,233.0,,1,2.1,,1,12.6,,1,27.9,,1,0.0,
07108,P,バナナ 乾,07108,7,果実類,0,8,0,4,4,8,0,0,8,493.32,60.15,8,3.37,2.25,8,23.46,12.81,8,68.44,11.55,8,0.32,0.62
07117,P,ぶどう 干しぶどう,07117,7,果実類,0,11,3,5,3,11,0,0,10,327.31,15.04,8,3.14,0.46,10,0.29,0.15,10,79.18,3.06,8,0.06,0.04
07119,P,ぶどう 果実飲料 濃縮還元ジュース,07119,7,果実類,0,9,5,4,0,9,0,0,8,48.88,2.15,8,0.2,0.0,8,0.0,0.0,8,12.14,0.62,8,0.01,0.01
07120,P,ぶどう 果実飲料 70%果汁入り飲料,07120,7,果実類,0,1,1,0,0,1,0,0,1,70.0,,1,0.0,,1,0.0,,1,17.5,,1,0.0,
07121,P,ぶどう 果実飲料 10%果汁入り飲料,07121,7,果実類,0,13,0,13,0,13,0,0,13,56.0,41.31,13,0.05,0.08,13,0.0,0.0,13,9.36,10.76,9,0.04,0.06
07123,P,ぶどう ジャム,07123,7,果実類,0,1,1,0,0,1,0,0,1,165.0,,1,0.5,,1,0.0,,1,40.5,,1,0.04,
07124,P,ブルーベリー 生,07124,7,果実類,0,13,5,4,4,13,0,0,13,61.51,12.37,13,0.54,0.08,13,0.14,0.17,13,15.25,2.71,13,0.0,0.0
07125,P,ブルーベリー ジャム,07125,7,果実類,0,17,9,5,3,17,0,0,17,190.53,48.05,17,0.15,0.22,17,0.05,0.13,17,47.51,12.02,17,0.07,0.04
07132,P,マンゴー 生,07132,7,果実類,0,6,1,0,5,6,0,0,6,61.5,6.47,6,0.73,0.27,6,0.03,0.08,6,14.88,1.52,6,0.0,0.0
07138,P,（もも類） もも 缶詰 白肉種 果肉,07138,7,果実類,0,5,3,0,2,5,0,0,5,78.8,5.36,5,0.44,0.05,5,0.04,0.05,5,19.26,1.36,5,0.01,0.01
07142,P,（かんきつ類） ゆず 果皮 生,07142,7,果実類,0,1,0,0,1,1,0,0,1,134.88,,1,0.7,,1,0.23,,1,29.07,,1,2.33,
07146,P,ラズベリー 生,07146,7,果実類,0,1,0,0,1,1,0,0,1,41.0,,1,1.1,,1,0.1,,1,10.2,,1,0.0,
07148,P,りんご 皮なし 生,07148,7,果実類,0,4,0,4,0,4,0,0,3,54.3,2.05,3,0.06,0.1,3,0.26,0.08,3,15.14,0.84,3,0.0,0.0
07149,P,りんご 果実飲料 ストレートジュース,07149,7,果実類,0,10,8,1,1,10,0,0,9,57.16,8.92,9,0.44,0.97,9,0.01,0.03,9,13.8,1.25,9,0.03,0.1
07150,P,りんご 果実飲料 濃縮還元ジュース,07150,7,果実類,0,15,9,6,0,15,0,0,12,47.04,2.66,12,0.1,0.06,12,0.0,0.01,12,11.76,0.75,12,0.0,0.01
07151,P,りんご 果実飲料 50%果汁入り飲料,07151,7,果実類,0,2,1,0,1,2,0,0,2,61.62,13.61,2,0.05,0.07,2,0.1,0.14,2,15.19,3.8,2,0.0,0.0
07152,P,りんご 果実飲料 30%果汁入り飲料,07152,7,果実類,0,7,0,7,0,7,0,0,7,28.36,16.57,7,0.02,0.04,7,0.0,0.0,7,7.66,4.3,7,0.02,0.02
07153,P,りんご 缶詰,07153,7,果実類,0,7,0,6,1,7,0,0,7,60.03,9.1,7,0.27,0.16,7,0.01,0.04,7,15.56,2.39,7,0.0,0.0
07154,P,りんご ジャム,07154,7,果実類,0,7,4,1,2,7,0,0,7,172.86,13.23,7,0.1,0.19,7,0.09,0.19,7,43.34,3.08,7,0.03,0.02
07155,P,（かんきつ類） レモン 全果 生,07155,7,果実類,0,2,0,2,0,2,0,0,1,30.77,,1,0.62,,1,0.0,,1,8.92,,1,0.0,
07156,P,（かんきつ類） レモン 果汁 生,07156,7,果実類,0,13,4,3,6,13,0,0,7,25.9,5.29,7,0.37,0.31,7,0.06,0.05,7,6.96,1.11,7,0.1,0.22
07157,P,ココナッツ ココナッツウォーター,07157,7,果実類,0,3,0,0,3,3,0,0,3,19.67,2.08,3,0.0,0.0,3,0.0,0.0,3,4.9,0.46,3,0.06,0.04
07158,P,ココナッツ ココナッツミルク,07158,7,果実類,0,11,0,0,11,11,0,0,11,156.73,55.56,11,1.37,0.82,11,15.47,6.55,11,3.1,1.89,11,0.06,0.04
07170,P,ココナッツ ナタデココ,07170,7,果実類,0,6,0,2,4,6,0,0,6,61.35,7.69,6,0.03,0.05,6,0.5,1.08,6,14.27,4.17,6,0.05,0.03
07172,P,ブルーベリー 乾,07172,7,果実類,0,4,1,3,0,4,0,0,4,211.75,170.62,4,0.88,0.34,4,0.6,0.59,4,52.05,41.43,4,0.0,0.0
07175,P,（もも類） もも 缶詰 黄肉種 果肉,07175,7,果実類,0,4,1,0,3,4,0,0,4,77.75,7.54,4,0.3,0.14,4,0.08,0.05,4,19.35,1.28,4,0.0,0.01
07176,P,りんご 皮つき 生,07176,7,果実類,0,10,0,10,0,10,0,0,10,68.22,7.09,10,0.49,0.27,10,0.35,0.39,10,16.53,0.65,10,0.0,0.01
07178,P,ぶどう 皮つき 生,07178,7,果実類,0,1,0,1,0,1,0,0,1,89.41,,1,0.59,,1,0.0,,1,22.29,,1,0.0,
07179,P,マンゴー ドライマンゴー,07179,7,果実類,0,8,1,5,2,8,0,0,6,247.83,142.18,6,1.3,0.65,6,0.28,0.38,6,61.55,35.18,6,0.17,0.19
07181,P,アサイー 冷凍 無糖,07181,7,果実類,0,4,0,2,2,4,0,0,4,96.84,20.53,4,1.27,0.08,4,2.36,3.11,4,18.07,4.71,4,0.04,0.04
08001,P,えのきたけ 生,08001,8,きのこ類,0,3,0,3,0,3,0,0,0,,,0,,,0,,,0,,,0,,
08003,P,えのきたけ 味付け瓶詰,08003,8,きのこ類,0,5,2,2,1,5,0,0,5,78.86,16.66,5,2.96,0.43,5,0.31,0.08,5,16.55,3.84,5,2.99,0.72
08006,P,（きくらげ類） きくらげ 乾,08006,8,きのこ類,0,10,1,5,4,10,0,0,7,170.57,4.72,7,7.46,1.56,7,1.13,0.76,7,75.86,3.56,7,0.1,0.02
08013,P,しいたけ 乾しいたけ 乾,08013,8,きのこ類,0,25,14,7,4,25,0,0,25,192.6,32.47,25,19.22,3.94,25,2.92,0.62,25,64.3,9.83,25,0.02,0.01
